Id,Year,Quantity of Wheat Exported,Quantity of Rice Exported
0,1987-88   ,253662,388796
1,1988-89   ,15800,349561.9
3,1990-91   ,139470,505114
4,1991-92   ,658250,761380
5,1992-93   ,36749,562904.55
6,1993-94   ,350,767687
7,1994-95   ,86628,890613
8,1995-96   ,632468,4914013
9,1996-97   ,1144620.67,2511974.02
10,1997-98   ,573190.84,2388957.8
11,1998-99   ,1761,4963597.99
12,1999-00   ,3.15,1896127.29
13,2000-01   ,813492.28,1534464.32
14,2001-02   ,2649380.24,2208198.78
15,2002-03   ,3671253.97,5047219.2
16,2003-04   ,4093080.52,3411914.35
17,2004-05   ,2009343.03,4778098.69
18,2005-06   ,746173.23,4088164.72
19,2006-07   ,46633.21,4747906.91
20,2007-08   ,237.26,6469272.12
21,2008-09   ,1120.51,2488290.83
22,2009-10   ,47.3,2156315.77
23,2010-11   ,394.47,2471344.2
24,2011-12   ,740746.77,7175894
25,2012-13   ,6514810.6,10147889.77
26,2013-14   ,5562374.75,10890454.81
27,2014-15   ,2924070.18,11976306.18
28,2015-16   ,666668.96,10510392.07
29,2016-17   ,265606.04,10755999.89
30,2017-18   ,322790.13,12705247.19
31,2018-19   ,226225,12014258.36
32,2019-20   ,217354.22,9495323.43
33,2020-21   ,2088487.66,17725548.33
