Id,Year,Wheat,Rice
0,1950-51   ,64.6,205.8
1,1951-52   ,61.8,213
2,1952-53   ,75,229
3,1953-54   ,80.2,282.1
4,1954-55   ,90.4,252.2
5,1955-56   ,87.6,275.6
6,1956-57   ,94,290.4
7,1957-58   ,79.9,255.3
8,1958-59   ,99.6,308.5
9,1959-60   ,103.2,316.8
10,1960-61   ,110,345.8
11,1961-62   ,120.7,356.6
12,1962-63   ,107.8,332.1
13,1963-64   ,98.5,370
14,1964-65   ,122.6,393.1
15,1965-66   ,104,305.9
16,1966-67   ,113.9,304.4
17,1967-68   ,165.4,376.1
18,1968-69   ,186.5,397.6
19,1969-70   ,200.9,404.3
20,1970-71   ,238.3,422.2
21,1971-72   ,264.1,430.7
22,1972-73   ,247.4,392.4
23,1973-74   ,217.8,440.5
24,1974-75   ,241,395.8
25,1975-76   ,288.4,487.4
26,1976-77   ,290.1,419.2
27,1977-78   ,317.5,526.7
28,1978-79   ,355.1,537.7
29,1979-80   ,318.3,423.3
30,1980-81   ,363.1,536.3
31,1981-82   ,374.5,532.5
32,1982-83   ,427.9,471.2
33,1983-84   ,454.8,601
34,1984-85   ,440.7,583.4
35,1985-86   ,470.5,638.3
36,1986-87   ,443.2,605.6
37,1987-88   ,461.7,568.6
38,1988-89   ,541.1,704.9
39,1989-90   ,498.5,735.7
40,1990-91   ,551.4,742.9
41,1991-92   ,556.9,746.8
42,1992-93   ,572.1,728.6
43,1993-94   ,598.4,803
44,1994-95   ,657.7,818.1
45,1995-96   ,621,769.8
46,1996-97   ,693.5,817.3
47,1997-98   ,663.5,825.4
48,1998-99   ,712.9,860.8
49,1999-00   ,763.7,896.8
50,2000-01   ,696.8,849.8
51,2001-02   ,727.7,933.4
52,2002-03   ,657.6,718.2
53,2003-04   ,721.6,885.3
54,2004-05   ,686.4,831.3
55,2005-06   ,693.5,917.9
56,2006-07   ,758.1,933.6
57,2007-08   ,785.7,966.9
58,2008-09   ,806.8,991.8
59,2009-10   ,808,890.9
60,2010-11   ,868.7,959.8
61,2011-12   ,948.8,1053
62,2012-13   ,935.1,1052.4
63,2013-14   ,958.5,1066.5
64,2014-15   ,865.3,1054.8
65,2015-16   ,922.9,1044.1
66,2016-17   ,985.1,1097
67,2017-18   ,998.7,1127.6
68,2018-19   ,1036.0,1164.8
69,2019-20   ,1078.6,1188.7
70,2020-21   ,1095.2,1222.7
